Deposit_name,State_Province_Region_County,Country,Longitude,Latitude, Ore_tonnage ,Grade_pct_Cg,Graphite_tonnage,Reference
McIntosh,Western Australia,Australia,127.96289,-17.61023,"23,800,000",3.97,"944,860","(Chase Mining Corporation Ltd., 2022)"
Golden Gate Project,Queensland,Australia,142.20795,-18.16085,"20,000,000",5.5,"1,100,000","(Crater Gold Mining, 2018)"
Munglinup Graphite Project,Western Australia,Australia,120.85935,-33.6654,"12,230,000",12.3,"1,504,290","(Mineral Commodities Limited, 2020)"
Burke-Mt Dromedary,Queensland,Australia,140.219129,-19.6120909,"20,900,000",13.9,"2,905,100","(CSA Global, 2017), (MarketScreener, 2017), (Strike Resources Limited, 2017)"
Santa Cruz,Bahia,Brazil,-39.60322818,-16.55550151,"22,800,000",2.3,"524,400","(Pignatari, 2020)"
Bell Graphite Project,Quebec,Canada,-75.3667521,45.5916581,"3,380,000",3,"101,400","(Marchand and Derosier, 2017)"
Asbury,Quebec,Canada,-75.5525925,46.1443032,"4,700,000",8.69,"408,430","(Charbonneau, 2012)"
Matawinie Graphite Project (South Zone),Quebec,Canada,-73.922326,46.6165695,"45,500,000",3.67,"1,669,850","(Martel and others, 2018)"
Bissett Creek,Ontario,Canada,-78.0569456,46.1248429,"122,500,000",1.8,"2,205,000","(Leduc, 2013)"
Matawinie Graphite Project (West Zone),Quebec,Canada,-73.9654657,46.6327916,"142,800,000",4.19,"5,983,320","(Martel and others, 2018)"
Beishan,Heilongjiang,China,130.6424676,47.8303127,"22,644,000",9.92,"2,247,400","(China Graphite Group Limited, 2023)"
Liumao Mine,Heilongjiang,China,130.803,45.225723,"28,300,000",16,"4,528,000","(Obolenskiy and others, 2013)"
Dawudian Graphite Mine,Inner Mongolia,China,108.062157,41.714002,"680,000,000",3.8,"25,840,000","(SRK Consulting, 2017)"
Amitsoq,Kommune Kujalleq,Greenland,-45.1266969,60.2856587,"23,000,000",20,"4,600,000","(Alba Mineral Resources PLC, 2023), (Anyadike, 2023), (GreenRock Mining Plc, 2022)"
Lola Graphite Project,Nzérékoré,Guinea,-8.55559,7.77998,"50,300,000",4.08,"2,052,240","(Del Carpio and others, 2019)"
Graphmada Mining Complex,Toamasina,Madagascar,48.9515926,-18.9056467,"61,900,000",4.5,"2,785,500","(Greenwing Resources Ltd., 2022)"
Molo Graphite Project,Toliara,Madagascar,45.1323214,-23.9980022,"141,280,000",6.127,"8,656,226","(de Bruin, 2022)"
Katengeza,Dowa,Malawai,34.2340037,-13.761893,"2,700,000",5.8,"156,600","(Malunga, G.W.P., 2016)"
Duwi,Central,Malawai,33.9699276,-13.9634669,"8,600,000",7.1,"610,600","(Malunga, G.W.P., 2016)"
Malingunde,Lilongwe,Malawai,33.6449597,-14.1584853,"14,500,000",9.7,"1,406,500","(Malunga, G.W.P., 2016)"
El Tejon Production,Oaxaca,Mexico,-96.9145,17.3316,"22,935,423",3.52,"807,327","(Henneberry, 2014)"
Lurio Graphite Project,Cabo Delgado,Mozambique,40.3021,-13.37069,"56,000,000",7,"3,920,000","(Barnett and others, 2019)"
Ancuabe,Cabo Delgado,Mozambique,40.0974404,-12.9817026,"71,000,000",6.46,"4,584,000","(Frazer, 2022), (Scogings, 2017), (Triton Minerals, 2017)"
Balama Central,Cabo Delgado,Mozambique,38.6103653,-13.3540655,"72,300,000",10,"7,230,000","(Battery Minerals, 2018a), (Pasuelo, 2016), (Scogings, 2017)"
Montepuez,Cabo Delgado,Mozambique,38.71666,-12.8042,"161,800,000",8.1,"13,105,800","(Battery Minerals, 2018b), (Battery Minerals, 2019)"
Balama,Cabo Delgado,Mozambique,38.6602239,-13.3223276,"1,421,000,000",10,"142,100,000","(Syrah Resources, 2021)"
"Nicanda Hill, West & Cobra Plains",Cabo Delgado,Mozambique,38.7967635,-13.1782821,"1,576,000,000",10.7,"167,988,000","(Triton Minerals Ltd., 2014), (Triton Minerals Ltd., 2015), (Triton Minerals Ltd., 2016)"
Black Range Deposit,Erongo,Namibia,15.2223848,-21.9489036,"12,460,000",4.63,"576,898","(Namibia Rare Earths Inc., 2018)"
Okanjande-Okorusu,Otjozondijupa,Namibia,16.62356,-20.60028,"60,400,000",4.89,"2,953,560","(Gasela and others, 2021)"
Trælen,Troms og Finnmark,Norway,17.2072162,69.4959604,"1,800,000",31,"558,000","(Gautneb and others, 2020)"
Vardfjellet,Troms og Finnmark,Norway,17.7542465,69.4301425,"12,840,000",9.2,"1,181,280","(Gautneb and others, 2020), (Rønning and others, 2017)"
Grunnvåg,Troms og Finnmark,Norway,18.019145,69.4003663,"22,770,000",5.2,"1,184,040","(Gautneb and others, 2020), (Rønning and others, 2017)"
Vikeid Central,Nordland,Norway,15.2717912,68.7683427,"8,890,000",13.8,"1,226,820","(Gautneb and others, 2020), (Rønning and others, 2019)"
Smines,Nordland,Norway,14.9740205,68.8657275,"18,890,000",7.1,"1,341,190","(Gautneb and others, 2020), (Rønning and others, 2019)"
Haugsnes,Nordland,Norway,14.7061549,68.6873724,"8,400,000",16.2,"1,360,800","(Gautneb and others, 2020), (Rønning and others, 2019)"
Instøya,Nordland,Norway,15.3091336,68.9081465,"14,820,000",9.3,"1,378,260","(Gautneb and others, 2020), (Rønning and others, 2019)"
Romset,Nordland,Norway,15.0147025,68.8263746,"9,630,000",14.7,"1,415,610","(Gautneb and others, 2020), (Rønning and others, 2019)"
Litljkollen,Troms og Finnmark,Norway,17.9072841,69.4272509,"34,540,000",5.3,"1,830,620","(Gautneb and others, 2020)"
Vikeid West,Nordland,Norway,15.2374263,68.7621661,"29,630,000",11.3,"3,348,190","(Gautneb and others, 2020), (Rønning and others, 2019)"
Kearney Graphite Mine,Ontario,Canada,-79.0832089,45.7255532,"98,300,000",2,"1,966,000","(Tessier and others, 2018)"
Lac Gueret South,Quebec,Canada,-69.0976712,51.0532894,"2,290,000",16.7,"382,430","(Lyons and others, 2019)"
Mousseau West Property,Quebec,Canada,-74.9880764,46.6159654,"6,500,000",6.63,"430,950","(Tremblay and Bussières, 2013)"
La Loutre Project,Quebec,Canada,-75.0057995,46.0363776,"35,100,000",3.46,"1,214,460","(Iund and others, 2023)"
Lac Knife,Quebec,Canada,-67.18179,52.54974,"12,600,000",16.12,"2,031,120","(Bisaillon and others, 2023)"
Lac Gueret,Quebec,Canada,-69.0621735,51.124706,"83,153,000",17.2,"14,302,316","(Cassoff and others, 2018)"
Soyuznoye,Orenburg Oblast,Russia,60.178645,50.833651,"116,000,000",13,"15,080,000","(Scogings, 2017)"
Steamboat,Limpopo,South Africa,29.4371157,-23.3343822,"3,500,000",8.8,"308,000","(Mitchell and Deady, 2021)"
Koppio Historic Mine,South Australia,Australia,135.9080366,-34.427326,"3,060,000",7.16,"219,096","(Lincoln Minerals, 2015)"
Campoona,South Australia,Australia,136.4703374,-33.5367622,"2,170,000",10.4,"225,680","(iTech Minerals, 2022)"
Kookaburra Gully,South Australia,Australia,135.9076761,-34.4023701,"2,940,000",12.8,"376,320","(Lincoln Minerals, 2017)"
Wilclo South,South Australia,Australia,136.4433628,-33.2984524,"6,380,000",8.8,"561,440","(iTech Minerals, 2022)"
Uley 2 Project,South Australia,Australia,135.7025714,-34.8026895,"6,300,000",11.1,"699,300","(Quantum Graphite, 2023)"
Siviour Graphite Project,South Australia,Australia,136.4265864,-33.9190603,"138,800,000",7.5,"10,410,000","(Renascor Resources Limited, 2022)"
Taehwa Graphite Project,Gangwon-do,South Korea,127.7079646,37.6278552,"5,600,000",5.5,"308,000","(Dennis and Graham, 2018)"
Geumam Graphite Project,Chungcheongnam-do,South Korea,126.6440406,36.926006,"7,200,000",5.46,"393,120","(Dennis and Graham, 2018)"
"Woxna Graphite Project, Gropabo Deposit",Gävleborg,Sweden,15.4172984,61.5203206,"2,940,000",7.895,"232,113","(Stinton and others, 2021)"
"Woxna Graphite Project, Kringel Deposit",Gävleborg,Sweden,15.6156947,61.4102295,"3,182,000",9.1,"289,562","(Stinton and others, 2021)"
Raitajärvi Graphite Project,Norrbotten,Sweden,23.15497,66.47101,"4,300,000",7.1,"305,300","(Talga, 2022)"
"Woxna Graphite Project, Mattsmyra Deposit",Gävleborg,Sweden,15.4620508,61.4989091,"7,340,000",7.6,"557,840","(Stinton and others, 2021)"
Vittangi,Lapland,Sweden,21.4063196,67.7152115,"12,600,000",25.5,"3,213,000","(Talga Group Ltd., 2022)"
Jalkunen,Norrbottens län,Sweden,22.086,67.314,"31,500,000",14.9,"4,693,500","(Talga Group Ltd., 2023)"
Chilalo,Lindi,Tanzania,38.7368858,-9.9467064,"20,100,000",9.9,"1,989,900","(Evolution Energy Minerals, 2023)"
Epanko Graphite Project,Morogoro,Tanzania,36.2485137,-8.4613385,"34,200,000",9.1,"3,112,200","(Mining Technology, 2015)"
Lindi Jumbo Graphite project,Lindi,Tanzania,38.9065,-9.91712,"41,800,000",10.8,"4,514,400","(Walkabout Resources Ltd., 2019)"
Nachu,Lindi,Tanzania,38.8700746,-9.9080124,"174,000,000",5.4,"9,396,000","(Magnis Resources Limited, 2016)"
Mahenge,Morogoro,Tanzania,36.72278,-8.85294,"213,100,000",7.8,"16,621,800","(Black Rock Mining Limited, 2022)"
Bunyu Grapite Project,Mtwara,Tanzania,39.1632814,-10.2801894,"588,400,000",4.79,"28,184,360","(NS Energy, 2019), (Volt Resources, 2018)"
Zavalyevskiy,Kirovohrad Oblast,Ukraine,30.0290448,48.2049049,"100,000,000",5.5,"5,500,000","(Robinson and others, 2017; Case and others, 2023)"
Coosa,Alabama,United States,-86.4038059,32.9108891,"178,335,000",2.285,"4,074,955","(Wilson and others, 2015)"
Graphite Creek,Alaska,United States,-165.5321782,65.03951759,"370,380,000",4.61,"17,074,518","(Goodwin and others, 2022)"
Yalbra,West Australia,Australia,116.3512256,-25.5608062,"4,000,000",16.1,"644,000","(Buxton Resources, 2022)"
Ceylon,Alabama,United States,-86.1567,33.07743,"23,000,000",2.4,"552,000","(Jobin-Bevans and others, 2023)"
